Set,Accuracy,Precision,Recall,F1
X_train,0.7589743589743589,0.7534034490989377,0.7589743589743589,0.752520241510436
X_val,0.6190476190476191,0.6060606060606061,0.6190476190476191,0.590249433106576
X_test,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.45252525252525255
