Model,Train Accuracy,Validation Accuracy,Test Accuracy
KNN,0.9846153846153847,0.19047619047619047,0.47619047619047616
Random Forest,0.7589743589743589,0.6190476190476191,0.47619047619047616
Gradient Boosting,0.9846153846153847,0.19047619047619047,0.38095238095238093
Logistic Regression,0.7076923076923077,0.3333333333333333,0.42857142857142855
DNN,0.764102564102564,0.2857142857142857,0.42857142857142855
